6D72FC1E-A5EC-4484-88C1-9646A206C2D4	Installation	Physical components of sensitive networks are installed in a secure and restricted area.	HAS_SENSITIVE_PHYSICAL_NETWORK	ROLE in ('Network Engineer', 'Compliance Agent')	IS_NEW_SENSITIVE_NETWORK_COMPONENT_ADDED, IS_NEW_SENSITIVE_PHYSICAL_NETWORK_COMPONENT_ADDED	PCI DSS v3.2.1 ref 9.1.3
8C77CFEE-8DDE-41AC-9CAE-49C0B8D93759	Installation	Virtual components of sensitive networks are hosted by a PCI DSS certified cloud service provider.	HAS_SENSITIVE_VIRTUAL_NETWORK	ROLE in ('Network Engineer', 'Compliance Agent')	IS_NEW_SENSITIVE_NETWORK_COMPONENT_ADDED, IS_NEW_SENSITIVE_VIRTUAL_NETWORK_COMPONENT_ADDED	PCI DSS v3.2.1 ref 9.1.3
ABC92EAF-9AAD-42A1-95DA-6DDDD3512AF8	Installation	All default vendor accounts and settings are changed prior to deployment. Default accounts not being used are, where possible, removed or disabled. 	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_NEW_SENSITIVE_NETWORK_COMPONENT_ADDED	PCI DSS v3.2.1 ref 2.1
76A4561B-9948-4D31-96B7-9B26299E6C0A	Access	Access to production network resources and configurations is limited to Senior Network Engineers and the Security Officer.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_PRODUCTION_NETWORK_ACCESS_MODIFIED	-
FFBAE9E9-1445-4B62-BA3A-B2B5F0522716	Access	Individual user accounts should be utilized for access to production network resources and configurations wherever possible.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_PRODUCTION_NETWORK_ACCESS_MODIFIED	-
F2C0436D-DC73-443E-8108-542D39C6948E	Access	Where shared access accounts must be used to access production network resources and configurations, the shared credentials must only be accessible to Senior Network Engineers and the Security Officer.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	ARE_SHARED_PRODUCTION_NETWORK_CREDENTIALS_MODIFIED_OR_MOVED	-
696C388C-7EF2-48D0-8283-FB750CA545C7	Topology	All traffic from untrusted networks and the public Internet in particular is routed through a DMZ and all internal (trusted) network components will only accept connections from the DMZ.	HAS_SENSITIVE_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_SENSITIVE_NETWORK_TOPOLOGY_CHANGED	PCI DSS v3.2.1 ref 1.3.1
84EDFCCF-2BC8-4B92-9992-0835C5D0103A	Topology	A firewall is implemented at each Internet connection and between any DMZ and internal networks.	HAS_SENSITIVE_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_SENSITIVE_NETWORK_TOPOLOGY_CHANGED	PCI DSS 3.1.2 ref 1.1.4.a
2B0E6CA6-C0E3-41A0-9207-6A8896F23E18	Documentation	The Production Network Diagram up to date and correctly represent the production network.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_SENSITIVE_NETWORK_TOPOLOGY_CHANGED || IS_NEW_SENSITIVE_NETWORK_COMPONENT_ADDED || ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED	PCI DSS 3.1.2 ref 1.1.2.a
273D23AE-55FD-4F9B-BCB2-52FC331CFE1B	Documentation	The Cardholder Data Flows Diagram up to date and correct and correctly represent the production flows.	HAS_CARDHOLDER_DATA	ROLE in ('Network Engineer', 'Compliance Agent')	IS_SENSITIVE_NETWORK_TOPOLOGY_CHANGED || IS_NEW_SENSITIVE_NETWORK_COMPONENT_ADDED || ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED	PCI DSS 3.1.2 ref 1.1.3.a
2BACF830-0111-44BB-9CFA-7B96F044396D	Documentation	Every enabled services, protocols, ports, etc. on a sensitive network documents the business need directly or by reference at the point in the configuration file where the service, etc. is enabled.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED	PCI DSS v3.2.1 ref 1.1.6, 2.2.d, 2.2.2
5BE19F73-7F0D-4AF7-90E6-C95F92FC8F5C	Documentation	Any allowed insecure services are clearly marked as such in the configurations with 'INSECURE'.	GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED	PCI DSS 3.1.2 ref 1.1.6.b, 1.2.1.a
2FB47EBD-31DE-47FB-BA42-007B680BFD48	Configuration	Production network components implement a "default deny" approach for all inbound and outbound traffic, allowing only explicitly authorized connections, services, etc. on an "as needed" basis.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED	PCI DSS v3.2.1 ref 1.2.1, 1.2.1.a, 1.1.6.a
A73BAE91-5E3C-4195-B042-A13676D2790C	Configuration	Inbound and outbound traffic is restricted to that traffic necessary to implement product functionality and adheres to Company Policy.	HAS_SENSITIVE_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED	PCI DSS ref 1.2.1.a
1D5F0ACE-B1EC-4DBB-8110-26CEA1F6983C	Configuration	Implementation of the production DMZ in particular must ensure that inbound traffic is only allowed to publicly accessible services, protocols and ports. 	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED	PCI DSS v3.2.1 ref 1.3.1
16391346-DA25-4A86-A9B7-056485917B38	Configuration	New security requirements, vulnerabilities, and/or best practices are reviewed by the Chief Network Engineer and Security Officer and incorporated into sensitive network configurations every 6 months.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_FULL_AUDIT	PCI DSS v3.2.1 ref 1.1.5.a, 1.1.7.a
48E947DF-D20D-46AD-86C1-588348A65098	Configuration	Inbound traffic to any given host is limited to trusted, internal network IPs and DMZ IPs. Thus, all Internet traffic must route through the DMZ.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED	PCI DSS v3.2.1 ref 1.3.2
50F94B73-DA3D-447B-8671-CFB1749869CD	Configuration	All traffic inbound to the DMZ from an untrusted network, and especially the Internet and any public network, presenting an internal IP address is blocked; i.e., anti-spoofing measures are in place. 	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED, ARE_DMZ_CONFIGURATIONS_CHANGED	PCI DSS v3.2.1 ref 1.3.3
BF0548D7-A167-4FA5-B88A-19AD90584182	Configuration	Any traffic outbound from a sensitive network must be specifically authorized; destination IP addresses and ports should be whitelisted whenever possible with whitelisted domains used where necessary.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED	PCI DSS v3.2.1 ref 1.3.4
46DE54C2-5F0C-4414-A542-E78E2349FED1	Configuration	Network Address Translation (NAT) and Port Address Translation (PAT) technology are employed at the DMZ to prevent Company TCP/IP addresses from being used on the Internet. 	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED, ARE_DMZ_CONFIGURATIONS_CHANGED	PCI DSS v3.2.1 ref 1.3.7.a
D072380C-90B2-43DE-9E3A-BA6413F6E30A	Configuration	Disclosure of internal/private IP addresses by staff not permitted except as required by auditors or as part of support/troubleshooting efforts with hosting providers or similar. 	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_PROCESS_AUDIT	PCI DSS v3.2.1 ref 1.3.7.b
76C9F68B-2051-48A2-8487-AAC5918C47B1	Configuration	Stateful Inspection/Dynamic Packet Filtering architecture is used to ensure that established connections from a legitimate source are allowed into the network.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	ARE_SENSITIVE_NETWORK_CONFIGURATIONS_CHANGED	PCI DSS v3.2.1 ref 1.3.5
9E86FB75-2EBB-4B32-8959-38D3F6D472E9	Configuration	The active configurations for all network resources matches the current, released configurations.	HAS_SENSITIVE_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_FULL_AUDIT	PCI DSS 3.1.2 ref 1.1.2.a, 1.1.3.a, 1.1.4.a, 1.1.6.a, 1.2,1.a
90ABA3DB-3720-441D-B539-C87E30BC6CC4	Change Control	All changes sensitive network configurations must be processed via the company’s Change Management System to ensure formal approval is obtained and all testing successfully completed. 	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_PROCESS_AUDIT	PCI DSS v3.2.1 ref 1.1.1
2B14963E-E834-4BDC-857A-EF2F213E2962	Change Control	Modification to sensitive network configurations must be reviewed by Senior Network Engineers.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_PROCESS_AUDIT	-
5E6CB92E-BDB4-4870-A7BC-8492EA1C0330	Change Control	In the normal course of events, sensitive network modifications are effected through a CI/CD process after all relevant change control procedures have been observed.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_PROCESS_AUDIT	-
AE39E19F-2754-443A-8FF7-E90A3FEC290D	Change Control	Manual/emergency modification of sensitive networks is made via the console port or via an encrypted session using strong cryptography and multi-factor authentication. 	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_PRODUCTION_NETWORK_ACCESS_MODIFIED	PCI DSS v3.2.1 ref 2.3
56B66F31-50EC-42CF-A877-67779EFA2A4D	Change Control	Administrative access to firewalls is controlled through access to the cloud services administrative console and the passwords must follow the Company’s Identification & Authentication Policy.	HAS_NETWORK, GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Network Engineer', 'Compliance Agent')	IS_PRODUCTION_NETWORK_ACCESS_MODIFIED	PCI DSS v3.2.1 ref 8
